participant_code,pair_condition,unordered_pair_index,human_unordered_pair_id,condition,position,family,env_id,variant,solved,attempts,first_attempt_success,first_attempt_x,first_attempt_y,success_attempt,success_x,success_y
H-E8CAF2ED,reflected,10,reflected_unordered_10,downward,2,Basic,2,original,True,2,False,339.0,44.0,2,294.0,48.0
H-4ED0E2AA,same_family,6,same_family_unordered_06,downward,1,Balance,1,original,True,3,False,388.0,61.0,3,183.0,333.0
H-4ED0E2AA,same_family,6,same_family_unordered_06,downward,2,Balance,7,original,True,2,False,434.0,426.0,2,470.0,433.0
H-69CBA9DB,reflected,17,reflected_unordered_17,upward,1,Prevention,4,original,True,6,False,485.0,395.0,6,46.0,320.0
H-69CBA9DB,reflected,17,reflected_unordered_17,upward,2,Prevention,4,reflect_y,True,6,False,532.0,324.0,6,546.0,337.0
H-7A7CD4CB,different_family,12,different_family_unordered_12,downward,1,Prevention,7,original,True,3,False,440.0,463.0,3,232.0,441.0
H-7A7CD4CB,different_family,12,different_family_unordered_12,downward,2,BackUp,6,original,True,8,False,175.0,370.0,8,260.0,433.0
H-29F79030,reflected,12,reflected_unordered_12,downward,1,Falling,3,original,True,4,False,292.0,560.0,4,370.0,556.0
H-29F79030,reflected,12,reflected_unordered_12,downward,2,Falling,3,reflect_y,True,3,False,211.0,556.0,3,253.0,548.0
H-91CB14CA,same_family,12,same_family_unordered_12,downward,1,Falling,3,original,False,10,False,422.0,401.0,,,
H-91CB14CA,same_family,12,same_family_unordered_12,downward,2,Falling,9,original,False,10,False,373.0,142.0,,,
H-162F7CDB,different_family,5,different_family_unordered_05,upward,1,Prevention,2,original,False,10,False,341.0,482.0,,,
H-162F7CDB,different_family,5,different_family_unordered_05,upward,2,BalanceUnder,6,original,False,10,False,150.0,289.0,,,
H-0D108E79,same_family,5,same_family_unordered_05,upward,1,Balance,10,original,True,7,False,174.0,230.0,7,495.0,66.0
H-0D108E79,same_family,5,same_family_unordered_05,upward,2,Balance,5,original,False,10,False,423.0,176.0,,,
H-7B1AF0D6,reflected,9,reflected_unordered_09,upward,1,Basic,1,reflect_y,False,10,False,214.0,393.0,,,
H-7B1AF0D6,reflected,9,reflected_unordered_09,upward,2,Basic,1,original,False,10,False,544.0,123.0,,,
H-CFCF8487,reflected,8,reflected_unordered_08,downward,1,BalanceUnder,5,reflect_y,True,2,False,519.0,175.0,2,255.0,349.0
H-CFCF8487,reflected,8,reflected_unordered_08,downward,2,BalanceUnder,5,original,True,5,False,352.0,336.0,5,338.0,533.0
H-162F7CDB,same_family,2,same_family_unordered_02,downward,1,BackUp,9,original,True,5,False,130.0,400.0,5,555.0,439.0
H-162F7CDB,same_family,2,same_family_unordered_02,downward,2,BackUp,7,original,True,3,False,333.0,443.0,3,303.0,306.0
H-24EE06BD,reflected,13,reflected_unordered_13,upward,1,Falling,8,reflect_y,True,3,False,393.0,405.0,3,503.0,110.0
H-24EE06BD,reflected,13,reflected_unordered_13,upward,2,Falling,8,original,True,1,True,87.0,107.0,1,87.0,107.0
H-9B58481C,different_family,16,different_family_unordered_16,downward,1,FallingAlt,4,original,False,10,False,145.0,181.0,,,
H-9B58481C,different_family,16,different_family_unordered_16,downward,2,Remove,8,original,True,3,False,91.0,274.0,3,304.0,454.0
H-0CABDB00,reflected,13,reflected_unordered_13,upward,1,Falling,8,original,True,6,False,205.0,156.0,6,42.0,111.0
H-0CABDB00,reflected,13,reflected_unordered_13,upward,2,Falling,8,reflect_y,True,2,False,558.0,110.0,2,527.0,112.0
H-76B20B44,reflected,2,reflected_unordered_02,downward,1,BackUp,5,original,True,2,False,231.0,452.0,2,214.0,436.0
H-76B20B44,reflected,2,reflected_unordered_02,downward,2,BackUp,5,reflect_y,True,4,False,401.0,430.0,4,402.0,484.0
H-F2AE1070,different_family,1,different_family_unordered_01,upward,1,BackUp,3,original,False,10,False,550.0,510.0,,,
H-F2AE1070,different_family,1,different_family_unordered_01,upward,2,Falling,5,original,False,10,False,233.0,180.0,,,
H-25D9FA0B,reflected,20,reflected_unordered_20,downward,1,Remove,8,reflect_y,True,2,False,524.0,562.0,2,236.0,483.0
H-25D9FA0B,reflected,20,reflected_unordered_20,downward,2,Remove,8,original,True,2,False,361.0,346.0,2,338.0,486.0
H-5E4D10C6,same_family,8,same_family_unordered_08,downward,1,BalanceUnder,3,original,False,10,False,430.0,495.0,,,
H-5E4D10C6,same_family,8,same_family_unordered_08,downward,2,BalanceUnder,6,original,True,3,False,238.0,541.0,3,351.0,494.0
H-599D6C05,different_family,8,different_family_unordered_08,downward,1,Basic,2,original,False,10,False,43.0,301.0,,,
H-599D6C05,different_family,8,different_family_unordered_08,downward,2,Falling,7,original,True,2,False,280.0,113.0,2,195.0,106.0
H-D2FF6FBD,different_family,1,different_family_unordered_01,upward,1,Falling,5,original,True,1,True,386.0,225.0,1,386.0,225.0
H-D2FF6FBD,different_family,1,different_family_unordered_01,upward,2,BackUp,3,original,True,1,True,240.0,417.0,1,240.0,417.0
H-A139D19F,reflected,7,reflected_unordered_07,upward,1,BalanceUnder,2,original,True,2,False,40.0,198.0,2,349.0,272.0
H-A139D19F,reflected,7,reflected_unordered_07,upward,2,BalanceUnder,2,reflect_y,True,2,False,408.0,354.0,2,227.0,279.0
H-CCFC1D09,reflected,6,reflected_unordered_06,downward,1,Balance,10,original,True,4,False,272.0,267.0,4,265.0,231.0
H-CCFC1D09,reflected,6,reflected_unordered_06,downward,2,Balance,10,reflect_y,True,3,False,311.0,195.0,3,336.0,202.0
H-DE6ECC22,different_family,6,different_family_unordered_06,downward,1,Basic,7,original,True,2,False,493.0,46.0,2,514.0,46.0
H-DE6ECC22,different_family,6,different_family_unordered_06,downward,2,Prevention,5,original,True,2,False,395.0,504.0,2,543.0,510.0
H-DCAA1CC5,same_family,11,same_family_unordered_11,upward,1,Falling,8,original,True,2,False,186.0,382.0,2,46.0,113.0
H-DCAA1CC5,same_family,11,same_family_unordered_11,upward,2,Falling,7,original,True,1,True,171.0,108.0,1,171.0,108.0
H-C2DB5AC6,different_family,20,different_family_unordered_20,downward,1,Remove,7,original,False,10,False,336.0,513.0,,,
H-C2DB5AC6,different_family,20,different_family_unordered_20,downward,2,BalanceUnder,10,original,True,5,False,240.0,279.0,5,146.0,422.0
H-CFDE4028,same_family,19,same_family_unordered_19,upward,1,Remove,8,original,True,10,False,445.0,482.0,10,101.0,445.0
